  NC rank    NC index    NC phen. index  NC phen. seq.    modularity: Louvain    modularity: spinglass
      368          95                 6  .(((....))).     0.48347107438          0.48347107438
      369         239                19  .((......)).     0.434674261303         0.459505161979
      370         323                28  ((.(....).))     0.41607049948          0.409371748179
      371         139                10  ..((....))..     0.40625                0.40625
      372         383                38  (((....).)).     0.589411764706         0.589411764706
      373         330                28  ((.(....).))     0.397996219282         0.39179584121
      374         375                36  ((.((...))))     0.360052614796         0.373365752551
      375         308                26  .(.((...)).)     0.42595                0.46535
      376          23                 3  ..(((....)))     0.319435586735         0.364198022959
      377         404                41  (.((....)).)     0.357142857143         0.316964285714
      378         401                41  (.((....)).)     0.357142857143         0.308035714286
      379         399                41  (.((....)).)     0.357142857143         0.330357142857
      380         396                41  (.((....)).)     0.357142857143         0.334821428571
      381         371                35  ((.(....))).     0.357142857143         0.321428571429
      382         331                28  ((.(....).))     0.357142857143         0.357142857143
      383         329                28  ((.(....).))     0.357142857143         0.330357142857
      384         326                28  ((.(....).))     0.357142857143         0.308035714286
      385         325                28  ((.(....).))     0.357142857143         0.316964285714
      386         324                28  ((.(....).))     0.357142857143         0.308035714286
      387          94                 6  .(((....))).     0.357142857143         0.300502232143
      388         402                41  (.((....)).)     0.355510204082         0.319863945578
      389         348                31  ((......))..     0.44049382716          0.441481481481
      390         238                19  .((......)).     0.388504421376         0.411764705882
      391         370                35  ((.(....))).     0.387901234568         0.447901234568
      392         423                45  ((.(...).)).     0.338921761999         0.334976988823
      393         415                43  (.(....).)..     0.345                  0.2934375
      394         395                41  (.((....)).)     0.208333333333         0.25
      395         387                39  (((....)).).     0.171875               0.2109375
      396         333                28  ((.(....).))     0.25                   0.25
      397         332                28  ((.(....).))     0.25                   0.25
      398         328                28  ((.(....).))     0.25                   0.25
      399         147                11  ..((......))     0.25                   0.25
      400         146                11  ..((......))     0.25                   0.2109375
      401         118                 7  ((((....))))     0.25                   0.25
      402          97                 6  .(((....))).     0.25                   0.25
      403          96                 6  .(((....))).     0.171875               0.25
      404         338                29  .((.(....)))     0.336734693878         0.336734693878
      405         320                28  ((.(....).))     0.243197278912         0.243197278912
      406         298                24  .(((....).))     0.266666666667         0.266666666667
      407         385                38  (((....).)).     0.111111111111         0.166666666667
      408         384                38  (((....).)).     0.111111111111         0.166666666667
      409         339                29  .((.(....)))     0.205882352941         0.202422145329
      410         403                41  (.((....)).)     0.0                    0.25
      411         300                24  .(((....).))     0.145408163265         0.145408163265
      412         303                24  .(((....).))     0.195                  0.195
      413         302                24  .(((....).))     0.030612244898         0.030612244898
      414         301                24  .(((....).))     0.21875                0.21875
      415         429                46  (.((....))).     0.166666666667         0.166666666667
      416         341                29  .((.(....)))     0.0                    0.0
      417         340                29  .((.(....)))     0.0                    0.0
      418         299                24  .(((....).))     0.0                    0.0
      419         255                20  (((......)))     0.0                    0.0
      420         254                20  (((......)))     0.0                    0.0
      421         231                18  ..(.(....).)     0.0                    0.0
      422         337                28  ((.(....).))     0.0                    0.0
      423         334                28  ((.(....).))     0.0                    0.0
      424         140                10  ..((....))..     0.0                    0.0
      425         376                36  ((.((...))))     0.0                    0.0
      426         311                27  .(.(....).).     0.0                    0.0
      427         430                47  (..(....)..)     n/a                    n/a
      428         386                38  (((....).)).     n/a                    n/a
      429         336                28  ((.(....).))     n/a                    n/a
      430         335                28  ((.(....).))     n/a                    n/a
      431         322                28  ((.(....).))     n/a                    n/a
